4.9828 	WARNING 	Could not load the desired click sound file, instead using manually created inferior click
20.5996 	EXP 	New trial (rep=0, index=3): {'wordList': 1, 'rightResponseFirst': True, 'leftStreamFlip': False, 'rightStreamFlip': False, 'cuePos': 0}
22.3280 	EXP 	window1: recordFrameIntervals = False
22.8169 	DATA 	Keypress: s
22.8289 	EXP 	Sound  started
23.2515 	DATA 	Keypress: u
23.2621 	EXP 	Sound  started
23.3782 	DATA 	Keypress: l
23.3786 	EXP 	Sound  started
23.4790 	DATA 	Keypress: k
23.4794 	EXP 	Sound  started
23.6359 	DATA 	Keypress: s
23.6449 	EXP 	Sound  started
23.8459 	DATA 	Keypress: space
23.8462 	EXP 	Sound  started
23.9685 	EXP 	Set  sound=G
23.9691 	EXP 	Set  sound=F
23.9691 	EXP 	Set Sound  volume=0.900
23.9691 	EXP 	Set Sound  volume=1.000
23.9691 	EXP 	Sound  started
23.9750 	DATA 	Keypress: space
24.3754 	EXP 	New trial (rep=0, index=4): {'wordList': 1, 'rightResponseFirst': False, 'leftStreamFlip': False, 'rightStreamFlip': False, 'cuePos': 0}
26.3118 	EXP 	window1: recordFrameIntervals = False
27.0286 	DATA 	Keypress: f
27.0290 	EXP 	Sound  started
27.1460 	DATA 	Keypress: a
27.1463 	EXP 	Sound  started
27.2192 	DATA 	Keypress: i
27.2294 	EXP 	Sound  started
27.2670 	DATA 	Keypress: l
27.2783 	EXP 	Sound  started
29.0790 	DATA 	Keypress: space
29.0795 	EXP 	Sound  started
29.2128 	DATA 	Keypress: space
29.2131 	EXP 	Sound  started
29.3315 	EXP 	Set  sound=G
29.3319 	EXP 	Set  sound=F
29.3319 	EXP 	Set Sound  volume=0.900
29.3319 	EXP 	Set Sound  volume=1.000
29.3319 	EXP 	Sound  started
29.7366 	EXP 	New trial (rep=0, index=5): {'wordList': 2, 'rightResponseFirst': True, 'leftStreamFlip': True, 'rightStreamFlip': True, 'cuePos': 0}
31.4117 	EXP 	window1: recordFrameIntervals = False
32.1635 	DATA 	Keypress: m
32.1639 	EXP 	Sound  started
32.3633 	DATA 	Keypress: i
32.3636 	EXP 	Sound  started
32.4364 	DATA 	Keypress: n
32.4459 	EXP 	Sound  started
37.9041 	DATA 	Keypress: u
37.9141 	EXP 	Sound  started
38.0212 	DATA 	Keypress: e
38.0304 	EXP 	Sound  started
38.1394 	DATA 	Keypress: t
38.1480 	EXP 	Sound  started
38.2718 	EXP 	Set  sound=G
38.2722 	EXP 	Set  sound=F
38.2722 	EXP 	Set Sound  volume=0.900
38.2722 	EXP 	Set Sound  volume=1.000
38.2722 	EXP 	Sound  started
38.6743 	EXP 	New trial (rep=0, index=6): {'wordList': 2, 'rightResponseFirst': True, 'leftStreamFlip': False, 'rightStreamFlip': False, 'cuePos': 0}
40.5469 	EXP 	window1: recordFrameIntervals = False
41.4474 	DATA 	Keypress: a
41.4478 	EXP 	Sound  started
41.4715 	DATA 	Keypress: s
41.4718 	DATA 	Keypress: d
41.4804 	EXP 	Sound  started
41.5376 	DATA 	Keypress: f
41.5484 	EXP 	Sound  started
41.6472 	DATA 	Keypress: a
41.6477 	DATA 	Keypress: s
41.6479 	EXP 	Sound  started
41.6705 	DATA 	Keypress: d
41.6805 	EXP 	Sound  started
41.7047 	DATA 	Keypress: grave
41.7136 	EXP 	Sound  started
41.7812 	DATA 	Keypress: f
41.7815 	EXP 	Sound  started
41.8540 	DATA 	Keypress: a
41.8700 	DATA 	Keypress: s
41.9002 	EXP 	Set  sound=G
41.9007 	EXP 	Set  sound=F
41.9007 	EXP 	Set Sound  volume=0.900
41.9007 	EXP 	Set Sound  volume=1.000
