8.2575 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.2920 	WARNING 	Could not load the desired click sound file, instead using manually created inferior click
8.2922 	EXP 	Set  sound=D
8.3862 	EXP 	Set  sound=D
8.3863 	EXP 	Set  sound=A
8.3961 	EXP 	Created sequence: random, trialTypes=40, nReps=50, seed=None
8.4823 	EXP 	Created sequence: random, trialTypes=40, nReps=50, seed=None
8.4827 	INFO 	numtrials=2000 and each trialDurFrames=77 or 1283.33333333 ms  task=T1
8.4838 	INFO 	Experiment will have 2000 trials. Letters will be drawn with superposed noise of 0.00%
8.4838 	INFO 	Starting main (non-staircase) part of experiment
8.4843 	EXP 	New trial (rep=0, index=0): {'leftStreamFlip': False, 'rightResponseFirst': True, 'rightStreamFlip': False, 'condition': 'LLLR', 'cuePos': 8}
8.5562 	WARNING 	t of last frame was 298.90ms (=1/3)
8.6623 	WARNING 	t of last frame was 102.86ms (=1/9)
10.5585 	EXP 	window1: recordFrameIntervals = False
14.7091 	DATA 	Keypress: l
14.7100 	EXP 	Sound  started
14.7770 	DATA 	Keypress: j
14.7772 	EXP 	Sound  started
14.7977 	DATA 	Keypress: k
14.8259 	EXP 	Sound  started
14.9099 	DATA 	Keypress: l
14.9102 	EXP 	Sound  started
14.9253 	DATA 	Keypress: k
14.9662 	DATA 	Keypress: j
14.9756 	EXP 	Sound  started
15.5929 	DATA 	Keypress: l
15.5933 	EXP 	Sound  started
15.6134 	DATA 	Keypress: k
15.6263 	EXP 	Sound  started
15.6762 	DATA 	Keypress: j
15.6765 	EXP 	Sound  started
15.6922 	WARNING 	Response was not present in the stimulus stream
15.6922 	WARNING 	Response was not present in the stimulus stream
15.7721 	DATA 	Keypress: l
15.7935 	EXP 	Set  sound=G
15.7939 	EXP 	Set  sound=F
15.7940 	EXP 	Set Sound  volume=0.900
15.7940 	EXP 	Set Sound  volume=1.000
15.7940 	EXP 	Sound  started
15.8042 	DATA 	Keypress: k
15.8200 	DATA 	Keypress: j
16.1994 	EXP 	New trial (rep=0, index=1): {'leftStreamFlip': False, 'rightResponseFirst': False, 'rightStreamFlip': False, 'condition': 'LLHR', 'cuePos': 10}
18.6923 	EXP 	window1: recordFrameIntervals = False
20.3435 	DATA 	Keypress: l
20.3438 	EXP 	Sound  started
20.3755 	DATA 	Keypress: k
20.3757 	EXP 	Sound  started
20.3989 	DATA 	Keypress: j
20.4094 	EXP 	Sound  started
20.5263 	DATA 	Keypress: l
20.5267 	EXP 	Sound  started
20.5430 	DATA 	Keypress: k
20.5766 	DATA 	Keypress: j
20.5769 	EXP 	Sound  started
20.6767 	DATA 	Keypress: l
20.6769 	EXP 	Sound  started
20.6962 	DATA 	Keypress: k
20.7104 	EXP 	Sound  started
20.7481 	DATA 	Keypress: j
20.7606 	EXP 	Sound  started
20.7770 	WARNING 	Response was not present in the stimulus stream
20.7771 	WARNING 	Response was not present in the stimulus stream
20.8519 	DATA 	Keypress: l
20.8678 	DATA 	Keypress: k
20.8784 	EXP 	Set  sound=G
20.8789 	EXP 	Set  sound=F
20.8789 	EXP 	Set Sound  volume=0.900
20.8789 	EXP 	Set Sound  volume=1.000
20.8790 	EXP 	Sound  started
20.9240 	DATA 	Keypress: j
