"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"13-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"Z "	"T "	0	1	7	"X "	"J "	0	1	0	8	8	"Z "	"0"	" 7"	"T "	"  1"	"X "	"0"	" 7"	"J "	"  1"
"main"	1	"13-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"X "	"Q "	0	-1	11	"T "	"P "	0	-6	0	10	5	"X "	"0"	"11"	"Q "	" -1"	"T "	"0"	"11"	"P "	" -6"
"main"	2	"13-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"U "	"N "	0	14	9	"O "	"O "	1	0	0	23	9	"U "	"0"	" 9"	"N "	" 14"	"O "	"1"	" 9"	"O "	"  0"
"main"	3	"13-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"V "	"J "	0	3	9	"C "	"C "	1	0	0	12	9	"C "	"1"	" 9"	"C "	"  0"	"V "	"0"	" 9"	"J "	"  3"
"main"	4	"13-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"N "	"N "	1	0	11	"I "	"F "	0	7	0	11	18	"I "	"0"	"11"	"F "	"  7"	"N "	"1"	"11"	"N "	"  0"
"main"	5	"13-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"V "	"W "	0	-13	15	"X "	"K "	0	-1	0	2	14	"X "	"0"	"15"	"K "	" -1"	"V "	"0"	"15"	"W "	"-13"
"main"	6	"13-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"B "	"J "	0	1	11	"S "	"S "	1	0	0	12	11	"S "	"1"	"11"	"S "	"  0"	"B "	"0"	"11"	"J "	"  1"
"main"	7	"13-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"H "	"H "	1	0	13	"U "	"U "	1	0	0	13	13	"H "	"1"	"13"	"H "	"  0"	"U "	"1"	"13"	"U "	"  0"
"main"	8	"13-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"Y "	"S "	0	12	9	"I "	"L "	0	4	0	21	13	"I "	"0"	" 9"	"L "	"  4"	"Y "	"0"	" 9"	"S "	" 12"
"main"	9	"13-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"W "	"Y "	0	11	13	"U "	"U "	1	0	0	24	13	"W "	"0"	"13"	"Y "	" 11"	"U "	"1"	"13"	"U "	"  0"
"main"	10	"13-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"P "	"Q "	0	-2	13	"D "	"D "	1	0	0	11	13	"D "	"1"	"13"	"D "	"  0"	"P "	"0"	"13"	"Q "	" -2"
"main"	11	"13-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"Q "	"W "	0	-1	9	"W "	"L "	0	2	0	8	11	"Q "	"0"	" 9"	"W "	" -1"	"W "	"0"	" 9"	"L "	"  2"
"main"	12	"13-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"O "	"D "	0	-4	7	"T "	"P "	0	11	0	3	18	"T "	"0"	" 7"	"P "	" 11"	"O "	"0"	" 7"	"D "	" -4"
"main"	13	"13-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"K "	"J "	0	-10	13	"L "	"I "	0	3	0	3	16	"L "	"0"	"13"	"I "	"  3"	"K "	"0"	"13"	"J "	"-10"
"main"	14	"13-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"K "	"K "	1	0	15	"Z "	"M "	0	-3	0	15	12	"K "	"1"	"15"	"K "	"  0"	"Z "	"0"	"15"	"M "	" -3"
"main"	15	"13-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"Y "	"J "	0	-4	7	"Z "	"S "	0	17	0	3	24	"Y "	"0"	" 7"	"J "	" -4"	"Z "	"0"	" 7"	"S "	" 17"
"main"	16	"13-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"A "	"O "	0	1	11	"G "	"L "	0	-7	0	12	4	"A "	"0"	"11"	"O "	"  1"	"G "	"0"	"11"	"L "	" -7"
"main"	17	"13-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"S "	"M "	0	9	7	"R "	"T "	0	1	0	16	8	"R "	"0"	" 7"	"T "	"  1"	"S "	"0"	" 7"	"M "	"  9"
"main"	18	"13-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"J "	"J "	1	0	15	"G "	"O "	0	-5	0	15	10	"J "	"1"	"15"	"J "	"  0"	"G "	"0"	"15"	"O "	" -5"
"main"	19	"13-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"F "	"B "	0	1	15	"W "	"W "	1	0	0	16	15	"W "	"1"	"15"	"W "	"  0"	"F "	"0"	"15"	"B "	"  1"
"main"	20	"13-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"C "	"C "	1	0	13	"M "	"F "	0	-1	0	13	12	"M "	"0"	"13"	"F "	" -1"	"C "	"1"	"13"	"C "	"  0"
"main"	21	"13-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"E "	"M "	0	-4	9	"D "	"E "	0	2	0	5	11	"D "	"0"	" 9"	"E "	"  2"	"E "	"0"	" 9"	"M "	" -4"
"main"	22	"13-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"C "	"O "	0	15	7	"F "	"F "	1	0	0	22	7	"F "	"1"	" 7"	"F "	"  0"	"C "	"0"	" 7"	"O "	" 15"
"main"	23	"13-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"W "	"W "	1	0	9	"J "	"J "	1	0	0	9	9	"J "	"1"	" 9"	"J "	"  0"	"W "	"1"	" 9"	"W "	"  0"
"main"	24	"13-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"E "	"E "	1	0	11	"B "	"B "	1	0	0	11	11	"B "	"1"	"11"	"B "	"  0"	"E "	"1"	"11"	"E "	"  0"
"main"	25	"13-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"Q "	"W "	0	9	11	"R "	"J "	0	-2	0	20	9	"Q "	"0"	"11"	"W "	"  9"	"R "	"0"	"11"	"J "	" -2"
"main"	26	"13-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"D "	"D "	1	0	13	"Y "	"N "	0	7	0	13	20	"D "	"1"	"13"	"D "	"  0"	"Y "	"0"	"13"	"N "	"  7"
"main"	27	"13-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"D "	"D "	1	0	9	"Y "	"H "	0	15	0	9	24	"D "	"1"	" 9"	"D "	"  0"	"Y "	"0"	" 9"	"H "	" 15"
"main"	28	"13-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"N "	"N "	1	0	7	"I "	"R "	0	-1	0	7	6	"N "	"1"	" 7"	"N "	"  0"	"I "	"0"	" 7"	"R "	" -1"
"main"	29	"13-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"V "	"V "	1	0	7	"B "	"S "	0	-6	0	7	1	"B "	"0"	" 7"	"S "	" -6"	"V "	"1"	" 7"	"V "	"  0"
"main"	30	"13-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"Z "	"K "	0	-11	11	"U "	"I "	0	-1	0	0	10	"U "	"0"	"11"	"I "	" -1"	"Z "	"0"	"11"	"K "	"-11"
"main"	31	"13-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"S "	"O "	0	5	15	"B "	"K "	0	-2	0	20	13	"S "	"0"	"15"	"O "	"  5"	"B "	"0"	"15"	"K "	" -2"
"main"	32	"13-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"U "	"U "	1	0	13	"U "	"U "	1	0	0	13	13	"U "	"1"	"13"	"U "	"  0"	"U "	"1"	"13"	"U "	"  0"
"main"	33	"13-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"V "	"N "	0	-2	7	"F "	"L "	0	-6	0	5	1	"V "	"0"	" 7"	"N "	" -2"	"F "	"0"	" 7"	"L "	" -6"
"main"	34	"13-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"Y "	"M "	0	15	9	"J "	"S "	0	4	0	24	13	"Y "	"0"	" 9"	"M "	" 15"	"J "	"0"	" 9"	"S "	"  4"
"main"	35	"13-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"D "	"S "	0	9	15	"S "	"W "	0	1	1	24	16	"D "	"0"	"15"	"S "	"  9"	"S "	"0"	"15"	"W "	"  1"
"main"	36	"13-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"K "	"N "	0	10	15	"W "	"S "	0	-1	0	25	14	"W "	"0"	"15"	"S "	" -1"	"K "	"0"	"15"	"N "	" 10"
"main"	37	"13-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"B "	"I "	0	-11	13	"S "	"S "	1	0	0	2	13	"S "	"1"	"13"	"S "	"  0"	"B "	"0"	"13"	"I "	"-11"
"main"	38	"13-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"I "	"I "	1	0	11	"E "	"P "	0	7	0	11	18	"I "	"1"	"11"	"I "	"  0"	"E "	"0"	"11"	"P "	"  7"
