experimentPhase	trialnum	subject	task	wordEcc	noisePercent	leftStreamFlip	rightStreamFlip	rightResponseFirst	cueSerialPos0	answer0	response0	correct0	responsePosRelative0	cueSerialPos1	answer1	response1	correct1	responsePosRelative1	timingBlips	cueResponsePos0	cueResponsePos1	answerleft	correctleft	cueSerialPosleft	responseleft	responsePosRelativeleft	answerright	correctright	cueSerialPosright	responseright	responsePosRelativeright
main	0	12-Jan	 T1 	6	0	False 	False 	False 	9	M 	M 	1	0	9	P 	P 	1	0	0	9	9	M 	1	9	M 	0	P 	1	9	P 	0
main	1	12-Jan	 T1 	1	0	False 	False 	True 	13	U 	O 	0	12	13	D 	Y 	0	-7	0	25	6	D 	0	13	Y 	-7	U 	0	13	O 	12
main	2	12-Jan	 T1 	1	0	False 	False 	False 	9	W 	W 	1	0	9	L 	U 	0	7	0	9	16	W 	1	9	W 	0	L 	0	9	U 	7
main	3	12-Jan	 T1 	6	0	False 	False 	True 	7	M 	F 	0	16	7	G 	L 	0	13	0	23	20	G 	0	7	L 	13	M 	0	7	F 	16
main	4	12-Jan	 T1 	6	0	False 	False 	True 	13	E 	Q 	0	12	13	Z 	K 	0	-5	0	25	8	Z 	0	13	K 	-5	E 	0	13	Q 	12
main	5	12-Jan	 T1 	1	0	False 	False 	False 	11	P 	D 	0	2	11	W 	G 	0	-3	0	13	8	P 	0	11	D 	2	W 	0	11	G 	-3
main	6	12-Jan	 T1 	6	0	False 	False 	False 	11	Q 	D 	0	6	11	Q 	P 	0	-1	0	17	10	Q 	0	11	D 	6	Q 	0	11	P 	-1
main	7	12-Jan	 T1 	1	0	False 	False 	True 	11	H 	E 	0	13	11	G 	A 	0	1	0	24	12	G 	0	11	A 	1	H 	0	11	E 	13
main	8	12-Jan	 T1 	1	0	False 	False 	False 	15	G 	G 	1	0	15	N 	H 	0	-10	0	15	5	G 	1	15	G 	0	N 	0	15	H 	-10
main	9	12-Jan	 T1 	1	0	False 	False 	True 	7	I 	P 	0	-1	7	S 	S 	1	0	0	6	7	S 	1	7	S 	0	I 	0	7	P 	-1
main	10	12-Jan	 T1 	6	0	False 	False 	True 	15	L 	Q 	0	-2	15	M 	X 	0	1	0	13	16	M 	0	15	X 	1	L 	0	15	Q 	-2
main	11	12-Jan	 T1 	1	0	False 	False 	False 	13	W 	B 	0	1	13	H 	Q 	0	-2	0	14	11	W 	0	13	B 	1	H 	0	13	Q 	-2
main	12	12-Jan	 T1 	6	0	False 	False 	True 	11	C 	P 	0	-2	11	F 	W 	0	-1	0	9	10	F 	0	11	W 	-1	C 	0	11	P 	-2
main	13	12-Jan	 T1 	6	0	False 	False 	True 	9	J 	P 	0	1	9	Z 	W 	0	13	0	10	22	Z 	0	9	W 	13	J 	0	9	P 	1
