"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"35-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"F "	"I "	0	-4	7	"J "	"J "	1	0	0	3	7	"F "	"0"	" 7"	"I "	" -4"	"J "	"1"	" 7"	"J "	"  0"
"main"	1	"35-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"B "	"C "	0	1	11	"A "	"M "	0	-1	0	12	10	"A "	"0"	"11"	"M "	" -1"	"B "	"0"	"11"	"C "	"  1"
"main"	2	"35-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"J "	"P "	0	1	15	"U "	"J "	0	-1	0	16	14	"U "	"0"	"15"	"J "	" -1"	"J "	"0"	"15"	"P "	"  1"
"main"	3	"35-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"R "	"R "	1	0	11	"T "	"P "	0	10	0	11	21	"R "	"1"	"11"	"R "	"  0"	"T "	"0"	"11"	"P "	" 10"
"main"	4	"35-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"O "	"E "	0	1	15	"L "	"L "	1	0	0	16	15	"O "	"0"	"15"	"E "	"  1"	"L "	"1"	"15"	"L "	"  0"
"main"	5	"35-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"G "	"G "	1	0	15	"K "	"M "	0	3	0	15	18	"G "	"1"	"15"	"G "	"  0"	"K "	"0"	"15"	"M "	"  3"
"main"	6	"35-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"F "	"N "	0	-5	9	"P "	"R "	0	1	0	4	10	"F "	"0"	" 9"	"N "	" -5"	"P "	"0"	" 9"	"R "	"  1"
"main"	7	"35-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"N "	"M "	0	-1	13	"G "	"Z "	0	1	0	12	14	"N "	"0"	"13"	"M "	" -1"	"G "	"0"	"13"	"Z "	"  1"
"main"	8	"35-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"W "	"W "	1	0	11	"J "	"T "	0	1	0	11	12	"J "	"0"	"11"	"T "	"  1"	"W "	"1"	"11"	"W "	"  0"
"main"	9	"35-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"Y "	"Y "	1	0	11	"E "	"S "	0	7	0	11	18	"Y "	"1"	"11"	"Y "	"  0"	"E "	"0"	"11"	"S "	"  7"
"main"	10	"35-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"Z "	"Z "	1	0	9	"W "	"W "	1	0	0	9	9	"W "	"1"	" 9"	"W "	"  0"	"Z "	"1"	" 9"	"Z "	"  0"
"main"	11	"35-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"U "	"U "	1	0	7	"T "	"H "	0	3	0	7	10	"T "	"0"	" 7"	"H "	"  3"	"U "	"1"	" 7"	"U "	"  0"
"main"	12	"35-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"A "	"M "	0	-3	13	"C "	"K "	0	7	1	10	20	"C "	"0"	"13"	"K "	"  7"	"A "	"0"	"13"	"M "	" -3"
"main"	13	"35-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"J "	"S "	0	1	13	"Q "	"C "	0	-9	0	14	4	"J "	"0"	"13"	"S "	"  1"	"Q "	"0"	"13"	"C "	" -9"
"main"	14	"35-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"J "	"S "	0	13	7	"K "	"Z "	0	1	1	20	8	"J "	"0"	" 7"	"S "	" 13"	"K "	"0"	" 7"	"Z "	"  1"
"main"	15	"35-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"W "	"W "	1	0	9	"L "	"L "	1	0	0	9	9	"L "	"1"	" 9"	"L "	"  0"	"W "	"1"	" 9"	"W "	"  0"
