"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"23-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"R "	"N "	0	1	7	"U "	"W "	0	14	0	8	21	"U "	"0"	" 7"	"W "	" 14"	"R "	"0"	" 7"	"N "	"  1"
"main"	1	"23-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"U "	"H "	0	1	13	"C "	"C "	1	0	0	14	13	"C "	"1"	"13"	"C "	"  0"	"U "	"0"	"13"	"H "	"  1"
"main"	2	"23-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"X "	"N "	0	1	15	"H "	"Z "	0	7	0	16	22	"H "	"0"	"15"	"Z "	"  7"	"X "	"0"	"15"	"N "	"  1"
"main"	3	"23-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"W "	"M "	0	6	13	"M "	"S "	0	1	0	19	14	"M "	"0"	"13"	"S "	"  1"	"W "	"0"	"13"	"M "	"  6"
"main"	4	"23-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"C "	"C "	1	0	9	"U "	"M "	0	10	0	9	19	"U "	"0"	" 9"	"M "	" 10"	"C "	"1"	" 9"	"C "	"  0"
"main"	5	"23-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"C "	"S "	0	16	7	"G "	"P "	0	1	0	23	8	"C "	"0"	" 7"	"S "	" 16"	"G "	"0"	" 7"	"P "	"  1"
"main"	6	"23-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"J "	"A "	0	1	11	"D "	"W "	0	1	0	12	12	"D "	"0"	"11"	"W "	"  1"	"J "	"0"	"11"	"A "	"  1"
"main"	7	"23-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"Y "	"N "	0	-2	7	"T "	"T "	1	0	0	5	7	"T "	"1"	" 7"	"T "	"  0"	"Y "	"0"	" 7"	"N "	" -2"
"main"	8	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"W "	"X "	0	1	7	"K "	"Z "	0	-4	0	8	3	"W "	"0"	" 7"	"X "	"  1"	"K "	"0"	" 7"	"Z "	" -4"
"main"	9	"23-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"T "	"O "	0	-5	9	"V "	"S "	0	-2	0	4	7	"T "	"0"	" 9"	"O "	" -5"	"V "	"0"	" 9"	"S "	" -2"
"main"	10	"23-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"Q "	"Q "	1	0	11	"I "	"R "	0	-2	0	11	9	"I "	"0"	"11"	"R "	" -2"	"Q "	"1"	"11"	"Q "	"  0"
"main"	11	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"W "	"M "	0	1	11	"K "	"L "	0	1	0	12	12	"W "	"0"	"11"	"M "	"  1"	"K "	"0"	"11"	"L "	"  1"
"main"	12	"23-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"J "	"T "	0	1	9	"S "	"M "	0	-1	0	10	8	"S "	"0"	" 9"	"M "	" -1"	"J "	"0"	" 9"	"T "	"  1"
"main"	13	"23-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"B "	"H "	0	-1	15	"F "	"F "	1	0	0	14	15	"B "	"0"	"15"	"H "	" -1"	"F "	"1"	"15"	"F "	"  0"
"main"	14	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"C "	"C "	1	0	15	"F "	"F "	1	0	0	15	15	"C "	"1"	"15"	"C "	"  0"	"F "	"1"	"15"	"F "	"  0"
"main"	15	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"L "	"B "	0	1	9	"E "	"E "	1	0	0	10	9	"L "	"0"	" 9"	"B "	"  1"	"E "	"1"	" 9"	"E "	"  0"
"main"	16	"23-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"P "	"P "	1	0	15	"I "	"H "	0	1	0	15	16	"I "	"0"	"15"	"H "	"  1"	"P "	"1"	"15"	"P "	"  0"
"main"	17	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"D "	"D "	1	0	13	"Y "	"L "	0	1	0	13	14	"D "	"1"	"13"	"D "	"  0"	"Y "	"0"	"13"	"L "	"  1"
"main"	18	"23-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"M "	"W "	0	8	11	"X "	"M "	0	2	0	19	13	"M "	"0"	"11"	"W "	"  8"	"X "	"0"	"11"	"M "	"  2"
"main"	19	"23-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"U "	"X "	0	-1	13	"V "	"U "	0	1	0	12	14	"U "	"0"	"13"	"X "	" -1"	"V "	"0"	"13"	"U "	"  1"
"main"	20	"23-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"F "	"F "	1	0	15	"M "	"M "	1	0	0	15	15	"M "	"1"	"15"	"M "	"  0"	"F "	"1"	"15"	"F "	"  0"
"main"	21	"23-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"W "	"M "	0	11	13	"V "	"S "	0	1	0	24	14	"V "	"0"	"13"	"S "	"  1"	"W "	"0"	"13"	"M "	" 11"
"main"	22	"23-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"R "	"H "	0	1	11	"A "	"C "	0	-9	0	12	2	"R "	"0"	"11"	"H "	"  1"	"A "	"0"	"11"	"C "	" -9"
"main"	23	"23-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"P "	"M "	0	1	11	"G "	"Z "	0	1	0	12	12	"G "	"0"	"11"	"Z "	"  1"	"P "	"0"	"11"	"M "	"  1"
"main"	24	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"X "	"X "	1	0	13	"R "	"T "	0	1	0	13	14	"X "	"1"	"13"	"X "	"  0"	"R "	"0"	"13"	"T "	"  1"
"main"	25	"23-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"O "	"H "	0	-1	13	"E "	"G "	0	1	0	12	14	"O "	"0"	"13"	"H "	" -1"	"E "	"0"	"13"	"G "	"  1"
"main"	26	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"U "	"F "	0	1	11	"M "	"M "	1	0	0	12	11	"U "	"0"	"11"	"F "	"  1"	"M "	"1"	"11"	"M "	"  0"
"main"	27	"23-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"V "	"X "	0	1	15	"R "	"P "	0	-1	0	16	14	"V "	"0"	"15"	"X "	"  1"	"R "	"0"	"15"	"P "	" -1"
"main"	28	"23-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"X "	"M "	0	-11	13	"U "	"U "	1	0	0	2	13	"U "	"1"	"13"	"U "	"  0"	"X "	"0"	"13"	"M "	"-11"
"main"	29	"23-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"V "	"M "	0	1	7	"E "	"E "	1	0	0	8	7	"E "	"1"	" 7"	"E "	"  0"	"V "	"0"	" 7"	"M "	"  1"
"main"	30	"23-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"M "	"M "	1	0	9	"Y "	"K "	0	-3	0	9	6	"Y "	"0"	" 9"	"K "	" -3"	"M "	"1"	" 9"	"M "	"  0"
"main"	31	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"H "	"H "	1	0	9	"X "	"E "	0	1	0	9	10	"H "	"1"	" 9"	"H "	"  0"	"X "	"0"	" 9"	"E "	"  1"
"main"	32	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"G "	"Y "	0	1	15	"Z "	"M "	0	1	0	16	16	"G "	"0"	"15"	"Y "	"  1"	"Z "	"0"	"15"	"M "	"  1"
"main"	33	"23-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"B "	"D "	0	-1	9	"A "	"A "	1	0	0	8	9	"A "	"1"	" 9"	"A "	"  0"	"B "	"0"	" 9"	"D "	" -1"
"main"	34	"23-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"B "	"B "	1	0	9	"D "	"H "	0	2	0	9	11	"B "	"1"	" 9"	"B "	"  0"	"D "	"0"	" 9"	"H "	"  2"
"main"	35	"23-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"N "	"A "	0	1	15	"C "	"Z "	0	1	0	16	16	"C "	"0"	"15"	"Z "	"  1"	"N "	"0"	"15"	"A "	"  1"
"main"	36	"23-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"V "	"N "	0	-1	11	"I "	"I "	1	0	0	10	11	"I "	"1"	"11"	"I "	"  0"	"V "	"0"	"11"	"N "	" -1"
"main"	37	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"L "	"R "	0	2	7	"G "	"Q "	0	-7	0	9	0	"L "	"0"	" 7"	"R "	"  2"	"G "	"0"	" 7"	"Q "	" -7"
"main"	38	"23-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"X "	"X "	1	0	7	"E "	"N "	0	-1	0	7	6	"X "	"1"	" 7"	"X "	"  0"	"E "	"0"	" 7"	"N "	" -1"
"main"	39	"23-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"X "	"W "	0	-5	7	"T "	"X "	0	14	0	2	21	"T "	"0"	" 7"	"X "	" 14"	"X "	"0"	" 7"	"W "	" -5"
"main"	40	"23-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"D "	"D "	1	0	11	"X "	"H "	0	-11	0	11	0	"D "	"1"	"11"	"D "	"  0"	"X "	"0"	"11"	"H "	"-11"
