"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"16-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"V "	"W "	0	1	15	"D "	"D "	1	0	0	16	15	"D "	"1"	"15"	"D "	"  0"	"V "	"0"	"15"	"W "	"  1"
"main"	1	"16-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"S "	"S "	1	0	13	"V "	"E "	0	1	0	13	14	"S "	"1"	"13"	"S "	"  0"	"V "	"0"	"13"	"E "	"  1"
"main"	2	"16-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"Q "	"F "	0	-1	13	"A "	"Q "	0	3	0	12	16	"Q "	"0"	"13"	"F "	" -1"	"A "	"0"	"13"	"Q "	"  3"
"main"	3	"16-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"L "	"F "	0	1	7	"O "	"S "	0	1	0	8	8	"O "	"0"	" 7"	"S "	"  1"	"L "	"0"	" 7"	"F "	"  1"
"main"	4	"16-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"O "	"D "	0	-10	11	"K "	"K "	1	0	0	1	11	"K "	"1"	"11"	"K "	"  0"	"O "	"0"	"11"	"D "	"-10"
"main"	5	"16-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"Z "	"D "	0	-3	11	"H "	"M "	0	9	0	8	20	"Z "	"0"	"11"	"D "	" -3"	"H "	"0"	"11"	"M "	"  9"
"main"	6	"16-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"E "	"E "	1	0	15	"M "	"M "	1	0	0	15	15	"E "	"1"	"15"	"E "	"  0"	"M "	"1"	"15"	"M "	"  0"
"main"	7	"16-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"J "	"F "	0	-4	7	"D "	"T "	0	13	0	3	20	"J "	"0"	" 7"	"F "	" -4"	"D "	"0"	" 7"	"T "	" 13"
"main"	8	"16-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"J "	"J "	1	0	13	"Q "	"Q "	1	0	0	13	13	"Q "	"1"	"13"	"Q "	"  0"	"J "	"1"	"13"	"J "	"  0"
"main"	9	"16-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"B "	"K "	0	13	9	"L "	"H "	0	1	0	22	10	"L "	"0"	" 9"	"H "	"  1"	"B "	"0"	" 9"	"K "	" 13"
