"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"34-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"O "	"C "	0	2	11	"S "	"G "	0	8	0	13	19	"S "	"0"	"11"	"G "	"  8"	"O "	"0"	"11"	"C "	"  2"
"main"	1	"34-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"H "	"Y "	0	16	9	"O "	"U "	0	-7	0	25	2	"H "	"0"	" 9"	"Y "	" 16"	"O "	"0"	" 9"	"U "	" -7"
"main"	2	"34-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"C "	"P "	0	1	9	"L "	"L "	1	0	0	10	9	"L "	"1"	" 9"	"L "	"  0"	"C "	"0"	" 9"	"P "	"  1"
"main"	3	"34-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"R "	"M "	0	2	11	"H "	"J "	0	13	0	13	24	"R "	"0"	"11"	"M "	"  2"	"H "	"0"	"11"	"J "	" 13"
"main"	4	"34-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"E "	"E "	1	0	11	"G "	"K "	0	1	0	11	12	"E "	"1"	"11"	"E "	"  0"	"G "	"0"	"11"	"K "	"  1"
"main"	5	"34-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"I "	"H "	0	-1	15	"X "	"X "	1	0	0	14	15	"I "	"0"	"15"	"H "	" -1"	"X "	"1"	"15"	"X "	"  0"
"main"	6	"34-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"W "	"J "	0	4	7	"A "	"W "	0	-4	0	11	3	"W "	"0"	" 7"	"J "	"  4"	"A "	"0"	" 7"	"W "	" -4"
"main"	7	"34-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"M "	"Q "	0	1	15	"I "	"O "	0	-4	0	16	11	"M "	"0"	"15"	"Q "	"  1"	"I "	"0"	"15"	"O "	" -4"
"main"	8	"34-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"U "	"T "	0	1	9	"A "	"U "	0	2	0	10	11	"U "	"0"	" 9"	"T "	"  1"	"A "	"0"	" 9"	"U "	"  2"
"main"	9	"34-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"D "	"Z "	0	1	13	"S "	"I "	0	-9	0	14	4	"S "	"0"	"13"	"I "	" -9"	"D "	"0"	"13"	"Z "	"  1"
"main"	10	"34-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"X "	"X "	1	0	7	"P "	"P "	1	0	0	7	7	"X "	"1"	" 7"	"X "	"  0"	"P "	"1"	" 7"	"P "	"  0"
"main"	11	"34-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"A "	"D "	0	2	13	"N "	"W "	0	-12	0	15	1	"N "	"0"	"13"	"W "	"-12"	"A "	"0"	"13"	"D "	"  2"
"main"	12	"34-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"U "	"M "	0	10	15	"V "	"C "	0	2	0	25	17	"V "	"0"	"15"	"C "	"  2"	"U "	"0"	"15"	"M "	" 10"
"main"	13	"34-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"S "	"S "	1	0	7	"S "	"T "	0	1	0	7	8	"S "	"0"	" 7"	"T "	"  1"	"S "	"1"	" 7"	"S "	"  0"
"main"	14	"34-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"X "	"G "	0	-6	13	"W "	"C "	0	1	0	7	14	"X "	"0"	"13"	"G "	" -6"	"W "	"0"	"13"	"C "	"  1"
"main"	15	"34-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"D "	"D "	1	0	7	"S "	"V "	0	1	0	7	8	"S "	"0"	" 7"	"V "	"  1"	"D "	"1"	" 7"	"D "	"  0"
"main"	16	"34-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"O "	"D "	0	2	9	"I "	"S "	0	-3	0	11	6	"I "	"0"	" 9"	"S "	" -3"	"O "	"0"	" 9"	"D "	"  2"
"main"	17	"34-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"J "	"I "	0	9	15	"M "	"M "	1	0	0	24	15	"M "	"1"	"15"	"M "	"  0"	"J "	"0"	"15"	"I "	"  9"
"main"	18	"34-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"V "	"S "	0	1	13	"S "	"J "	0	-6	0	14	7	"V "	"0"	"13"	"S "	"  1"	"S "	"0"	"13"	"J "	" -6"
