"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"29-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"N "	"Y "	0	3	7	"F "	"Z "	0	-6	0	10	1	"F "	"0"	" 7"	"Z "	" -6"	"N "	"0"	" 7"	"Y "	"  3"
"main"	1	"29-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"X "	"S "	0	-1	11	"Z "	"J "	0	-1	0	10	10	"Z "	"0"	"11"	"J "	" -1"	"X "	"0"	"11"	"S "	" -1"
"main"	2	"29-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"H "	"X "	0	-1	11	"U "	"H "	0	-5	0	10	6	"H "	"0"	"11"	"X "	" -1"	"U "	"0"	"11"	"H "	" -5"
"main"	3	"29-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"R "	"R "	1	0	13	"S "	"N "	0	-4	0	13	9	"R "	"1"	"13"	"R "	"  0"	"S "	"0"	"13"	"N "	" -4"
"main"	4	"29-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"U "	"S "	0	-1	15	"J "	"J "	1	0	0	14	15	"J "	"1"	"15"	"J "	"  0"	"U "	"0"	"15"	"S "	" -1"
"main"	5	"29-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"W "	"B "	0	1	13	"W "	"N "	0	8	0	14	21	"W "	"0"	"13"	"B "	"  1"	"W "	"0"	"13"	"N "	"  8"
"main"	6	"29-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"G "	"H "	0	-13	13	"H "	"K "	0	-9	0	0	4	"H "	"0"	"13"	"K "	" -9"	"G "	"0"	"13"	"H "	"-13"
"main"	7	"29-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"Z "	"R "	0	1	11	"K "	"N "	0	-10	0	12	1	"Z "	"0"	"11"	"R "	"  1"	"K "	"0"	"11"	"N "	"-10"
"main"	8	"29-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"X "	"S "	0	-3	15	"R "	"R "	1	0	0	12	15	"R "	"1"	"15"	"R "	"  0"	"X "	"0"	"15"	"S "	" -3"
"main"	9	"29-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"T "	"S "	0	1	15	"M "	"T "	0	-15	0	16	0	"T "	"0"	"15"	"S "	"  1"	"M "	"0"	"15"	"T "	"-15"
"main"	10	"29-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"V "	"S "	0	17	7	"F "	"T "	0	-2	0	24	5	"F "	"0"	" 7"	"T "	" -2"	"V "	"0"	" 7"	"S "	" 17"
"main"	11	"29-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"W "	"Y "	0	2	9	"J "	"W "	0	16	0	11	25	"W "	"0"	" 9"	"Y "	"  2"	"J "	"0"	" 9"	"W "	" 16"
"main"	12	"29-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"Q "	"K "	0	1	9	"I "	"N "	0	10	0	10	19	"Q "	"0"	" 9"	"K "	"  1"	"I "	"0"	" 9"	"N "	" 10"
"main"	13	"29-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"M "	"B "	0	15	7	"A "	"M "	0	9	1	22	16	"M "	"0"	" 7"	"B "	" 15"	"A "	"0"	" 7"	"M "	"  9"
