"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"24"	" T1 "	1	0	"False "	"False "	"False "	11	"R "	"E "	0	-2	11	"I "	"F "	0	1	0	9	12	"R "	"0"	"11"	"E "	" -2"	"I "	"0"	"11"	"F "	"  1"
"main"	1	"24"	" T1 "	1	0	"False "	"False "	"True "	7	"T "	"L "	0	-5	7	"S "	"D "	0	1	0	2	8	"S "	"0"	" 7"	"D "	"  1"	"T "	"0"	" 7"	"L "	" -5"
"main"	2	"24"	" T1 "	1	0	"False "	"False "	"True "	11	"A "	"J "	0	-7	11	"J "	"Z "	0	1	0	4	12	"J "	"0"	"11"	"Z "	"  1"	"A "	"0"	"11"	"J "	" -7"
"main"	3	"24"	" T1 "	6	0	"False "	"False "	"True "	15	"W "	"P "	0	-1	15	"T "	"F "	0	-1	0	14	14	"T "	"0"	"15"	"F "	" -1"	"W "	"0"	"15"	"P "	" -1"
"main"	4	"24"	" T1 "	1	0	"False "	"False "	"False "	13	"U "	"M "	0	-6	13	"D "	"C "	0	1	0	7	14	"U "	"0"	"13"	"M "	" -6"	"D "	"0"	"13"	"C "	"  1"
"main"	5	"24"	" T1 "	1	0	"False "	"False "	"True "	13	"C "	"C "	1	0	13	"A "	"A "	1	0	0	13	13	"A "	"1"	"13"	"A "	"  0"	"C "	"1"	"13"	"C "	"  0"
"main"	6	"24"	" T1 "	6	0	"False "	"False "	"False "	15	"A "	"D "	0	3	15	"L "	"C "	0	6	0	18	21	"A "	"0"	"15"	"D "	"  3"	"L "	"0"	"15"	"C "	"  6"
"main"	7	"24"	" T1 "	6	0	"False "	"False "	"False "	11	"O "	"J "	0	9	11	"O "	"N "	0	-8	0	20	3	"O "	"0"	"11"	"J "	"  9"	"O "	"0"	"11"	"N "	" -8"
"main"	8	"24"	" T1 "	1	0	"False "	"False "	"False "	7	"Q "	"H "	0	7	7	"B "	"O "	0	4	0	14	11	"Q "	"0"	" 7"	"H "	"  7"	"B "	"0"	" 7"	"O "	"  4"
"main"	9	"24"	" T1 "	1	0	"False "	"False "	"False "	9	"Q "	"N "	0	-9	9	"N "	"G "	0	1	0	0	10	"Q "	"0"	" 9"	"N "	" -9"	"N "	"0"	" 9"	"G "	"  1"
"main"	10	"24"	" T1 "	1	0	"False "	"False "	"True "	9	"L "	"H "	0	7	9	"C "	"C "	1	0	0	16	9	"C "	"1"	" 9"	"C "	"  0"	"L "	"0"	" 9"	"H "	"  7"
"main"	11	"24"	" T1 "	1	0	"False "	"False "	"True "	15	"D "	"D "	1	0	15	"E "	"C "	0	8	0	15	23	"E "	"0"	"15"	"C "	"  8"	"D "	"1"	"15"	"D "	"  0"
"main"	12	"24"	" T1 "	6	0	"False "	"False "	"False "	9	"X "	"A "	0	1	9	"F "	"F "	1	0	0	10	9	"X "	"0"	" 9"	"A "	"  1"	"F "	"1"	" 9"	"F "	"  0"
"main"	13	"24"	" T1 "	6	0	"False "	"False "	"False "	7	"H "	"Z "	0	1	7	"R "	"F "	0	1	0	8	8	"H "	"0"	" 7"	"Z "	"  1"	"R "	"0"	" 7"	"F "	"  1"
"main"	14	"24"	" T1 "	6	0	"False "	"False "	"False "	13	"C "	"U "	0	-2	13	"E "	"E "	1	0	0	11	13	"C "	"0"	"13"	"U "	" -2"	"E "	"1"	"13"	"E "	"  0"
"main"	15	"24"	" T1 "	1	0	"False "	"False "	"False "	15	"J "	"J "	1	0	15	"S "	"I "	0	-1	0	15	14	"J "	"1"	"15"	"J "	"  0"	"S "	"0"	"15"	"I "	" -1"
"main"	16	"24"	" T1 "	6	0	"False "	"False "	"True "	7	"F "	"T "	0	6	7	"X "	"T "	0	-2	0	13	5	"X "	"0"	" 7"	"T "	" -2"	"F "	"0"	" 7"	"T "	"  6"
"main"	17	"24"	" T1 "	6	0	"False "	"False "	"True "	13	"U "	"S "	0	1	13	"B "	"X "	0	4	0	14	17	"B "	"0"	"13"	"X "	"  4"	"U "	"0"	"13"	"S "	"  1"
"main"	18	"24"	" T1 "	6	0	"False "	"False "	"True "	11	"N "	"E "	0	2	11	"E "	"H "	0	7	0	13	18	"E "	"0"	"11"	"H "	"  7"	"N "	"0"	"11"	"E "	"  2"
"main"	19	"24"	" T1 "	6	0	"False "	"False "	"True "	9	"P "	"P "	1	0	9	"K "	"W "	0	1	0	9	10	"K "	"0"	" 9"	"W "	"  1"	"P "	"1"	" 9"	"P "	"  0"
"main"	20	"24"	" T1 "	1	0	"False "	"False "	"False "	11	"N "	"M "	0	8	11	"H "	"P "	0	-6	0	19	5	"N "	"0"	"11"	"M "	"  8"	"H "	"0"	"11"	"P "	" -6"
"main"	21	"24"	" T1 "	6	0	"False "	"False "	"True "	11	"U "	"Y "	0	7	11	"Y "	"X "	0	12	0	18	23	"Y "	"0"	"11"	"X "	" 12"	"U "	"0"	"11"	"Y "	"  7"
"main"	22	"24"	" T1 "	6	0	"False "	"False "	"False "	7	"I "	"I "	1	0	7	"W "	"Y "	0	14	0	7	21	"I "	"1"	" 7"	"I "	"  0"	"W "	"0"	" 7"	"Y "	" 14"
"main"	23	"24"	" T1 "	6	0	"False "	"False "	"False "	15	"P "	"P "	1	0	15	"O "	"R "	0	5	0	15	20	"P "	"1"	"15"	"P "	"  0"	"O "	"0"	"15"	"R "	"  5"
"main"	24	"24"	" T1 "	1	0	"False "	"False "	"True "	15	"G "	"G "	1	0	15	"O "	"E "	0	-1	0	15	14	"O "	"0"	"15"	"E "	" -1"	"G "	"1"	"15"	"G "	"  0"
"main"	25	"24"	" T1 "	1	0	"False "	"False "	"False "	7	"V "	"E "	0	3	7	"L "	"G "	0	1	0	10	8	"V "	"0"	" 7"	"E "	"  3"	"L "	"0"	" 7"	"G "	"  1"
"main"	26	"24"	" T1 "	1	0	"False "	"False "	"True "	9	"I "	"J "	0	1	9	"Q "	"I "	0	4	0	10	13	"Q "	"0"	" 9"	"I "	"  4"	"I "	"0"	" 9"	"J "	"  1"
"main"	27	"24"	" T1 "	6	0	"False "	"False "	"True "	9	"X "	"G "	0	1	9	"C "	"I "	0	-7	0	10	2	"C "	"0"	" 9"	"I "	" -7"	"X "	"0"	" 9"	"G "	"  1"
"main"	28	"24"	" T1 "	6	0	"False "	"False "	"True "	13	"K "	"I "	0	-9	13	"Z "	"Z "	1	0	0	4	13	"Z "	"1"	"13"	"Z "	"  0"	"K "	"0"	"13"	"I "	" -9"
"main"	29	"24"	" T1 "	1	0	"False "	"False "	"False "	9	"H "	"I "	0	-9	9	"J "	"J "	1	0	0	0	9	"H "	"0"	" 9"	"I "	" -9"	"J "	"1"	" 9"	"J "	"  0"
"main"	30	"24"	" T1 "	6	0	"False "	"False "	"False "	13	"X "	"U "	0	-5	13	"F "	"V "	0	1	0	8	14	"X "	"0"	"13"	"U "	" -5"	"F "	"0"	"13"	"V "	"  1"
"main"	31	"24"	" T1 "	6	0	"False "	"False "	"True "	7	"Q "	"C "	0	1	7	"X "	"H "	0	5	0	8	12	"X "	"0"	" 7"	"H "	"  5"	"Q "	"0"	" 7"	"C "	"  1"
"main"	32	"24"	" T1 "	1	0	"False "	"False "	"True "	13	"O "	"O "	1	0	13	"R "	"X "	0	-8	0	13	5	"R "	"0"	"13"	"X "	" -8"	"O "	"1"	"13"	"O "	"  0"
"main"	33	"24"	" T1 "	1	0	"False "	"False "	"True "	7	"U "	"U "	1	0	7	"W "	"F "	0	16	0	7	23	"W "	"0"	" 7"	"F "	" 16"	"U "	"1"	" 7"	"U "	"  0"
"main"	34	"24"	" T1 "	1	0	"False "	"False "	"False "	13	"G "	"G "	1	0	13	"J "	"I "	0	-4	0	13	9	"G "	"1"	"13"	"G "	"  0"	"J "	"0"	"13"	"I "	" -4"
"main"	35	"24"	" T1 "	6	0	"False "	"False "	"False "	9	"C "	"H "	0	12	9	"H "	"I "	0	-9	0	21	0	"C "	"0"	" 9"	"H "	" 12"	"H "	"0"	" 9"	"I "	" -9"
"main"	36	"24"	" T1 "	1	0	"False "	"False "	"True "	11	"Z "	"Y "	0	1	11	"D "	"X "	0	3	0	12	14	"D "	"0"	"11"	"X "	"  3"	"Z "	"0"	"11"	"Y "	"  1"
"main"	37	"24"	" T1 "	6	0	"False "	"False "	"True "	15	"C "	"G "	0	1	15	"U "	"H "	0	-12	1	16	3	"U "	"0"	"15"	"H "	"-12"	"C "	"0"	"15"	"G "	"  1"
"main"	38	"24"	" T1 "	1	0	"False "	"False "	"False "	15	"E "	"E "	1	0	15	"F "	"F "	1	0	0	15	15	"E "	"1"	"15"	"E "	"  0"	"F "	"1"	"15"	"F "	"  0"
"main"	39	"24"	" T1 "	6	0	"False "	"False "	"False "	11	"V "	"E "	0	-6	11	"C "	"P "	0	11	0	5	22	"V "	"0"	"11"	"E "	" -6"	"C "	"0"	"11"	"P "	" 11"
"main"	40	"24"	" T1 "	6	0	"False "	"False "	"True "	15	"C "	"C "	1	0	15	"B "	"X "	0	-1	0	15	14	"B "	"0"	"15"	"X "	" -1"	"C "	"1"	"15"	"C "	"  0"
"main"	41	"24"	" T1 "	1	0	"False "	"False "	"True "	11	"Q "	"Q "	1	0	11	"A "	"C "	0	9	0	11	20	"A "	"0"	"11"	"C "	"  9"	"Q "	"1"	"11"	"Q "	"  0"
