"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"20-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"H "	"O "	0	-1	7	"J "	"P "	0	-4	0	6	3	"J "	"0"	" 7"	"P "	" -4"	"H "	"0"	" 7"	"O "	" -1"
"main"	1	"20-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"W "	"V "	0	-9	11	"Y "	"E "	0	-9	0	2	2	"W "	"0"	"11"	"V "	" -9"	"Y "	"0"	"11"	"E "	" -9"
"main"	2	"20-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"B "	"G "	0	-7	7	"G "	"E "	0	8	0	0	15	"B "	"0"	" 7"	"G "	" -7"	"G "	"0"	" 7"	"E "	"  8"
"main"	3	"20-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"A "	"R "	0	-8	11	"C "	"M "	0	-11	0	3	0	"A "	"0"	"11"	"R "	" -8"	"C "	"0"	"11"	"M "	"-11"
"main"	4	"20-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"M "	"K "	0	-15	15	"R "	"L "	0	-13	0	0	2	"M "	"0"	"15"	"K "	"-15"	"R "	"0"	"15"	"L "	"-13"
"main"	5	"20-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"Q "	"Z "	0	-6	7	"M "	"S "	0	-6	0	1	1	"Q "	"0"	" 7"	"Z "	" -6"	"M "	"0"	" 7"	"S "	" -6"
"main"	6	"20-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"S "	"I "	0	7	9	"J "	"W "	0	-9	0	16	0	"J "	"0"	" 9"	"W "	" -9"	"S "	"0"	" 9"	"I "	"  7"
"main"	7	"20-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"Z "	"H "	0	-15	15	"P "	"M "	0	-4	0	0	11	"Z "	"0"	"15"	"H "	"-15"	"P "	"0"	"15"	"M "	" -4"
"main"	8	"20-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"G "	"W "	0	-8	15	"C "	"G "	0	-14	0	7	1	"C "	"0"	"15"	"G "	"-14"	"G "	"0"	"15"	"W "	" -8"
"main"	9	"20-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"V "	"S "	0	-11	13	"Q "	"P "	0	-12	0	2	1	"Q "	"0"	"13"	"P "	"-12"	"V "	"0"	"13"	"S "	"-11"
"main"	10	"20-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"I "	"L "	0	6	11	"D "	"H "	0	-10	0	17	1	"D "	"0"	"11"	"H "	"-10"	"I "	"0"	"11"	"L "	"  6"
"main"	11	"20-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"K "	"Q "	0	9	13	"O "	"H "	0	-13	0	22	0	"O "	"0"	"13"	"H "	"-13"	"K "	"0"	"13"	"Q "	"  9"
"main"	12	"20-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"F "	"M "	0	-4	11	"W "	"X "	0	-10	0	7	1	"W "	"0"	"11"	"X "	"-10"	"F "	"0"	"11"	"M "	" -4"
"main"	13	"20-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"W "	"P "	0	-15	15	"L "	"U "	0	-11	0	0	4	"L "	"0"	"15"	"U "	"-11"	"W "	"0"	"15"	"P "	"-15"
"main"	14	"20-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"P "	"V "	0	-8	9	"N "	"I "	0	-9	0	1	0	"P "	"0"	" 9"	"V "	" -8"	"N "	"0"	" 9"	"I "	" -9"
"main"	15	"20-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"H "	"X "	0	-13	13	"G "	"U "	0	-8	0	0	5	"H "	"0"	"13"	"X "	"-13"	"G "	"0"	"13"	"U "	" -8"
"main"	16	"20-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"O "	"N "	0	12	9	"O "	"Y "	0	-9	0	21	0	"O "	"0"	" 9"	"Y "	" -9"	"O "	"0"	" 9"	"N "	" 12"
"main"	17	"20-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"E "	"M "	0	-11	13	"P "	"A "	0	-12	0	2	1	"E "	"0"	"13"	"M "	"-11"	"P "	"0"	"13"	"A "	"-12"
"main"	18	"20-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"V "	"J "	0	-8	9	"C "	"A "	0	13	0	1	22	"V "	"0"	" 9"	"J "	" -8"	"C "	"0"	" 9"	"A "	" 13"
"main"	19	"20-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"X "	"P "	0	15	7	"U "	"Q "	0	7	1	22	14	"U "	"0"	" 7"	"Q "	"  7"	"X "	"0"	" 7"	"P "	" 15"
"main"	20	"20-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"T "	"H "	0	-7	13	"K "	"G "	0	-13	0	6	0	"K "	"0"	"13"	"G "	"-13"	"T "	"0"	"13"	"H "	" -7"
"main"	21	"20-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"L "	"O "	0	7	15	"F "	"Q "	0	3	0	22	18	"L "	"0"	"15"	"O "	"  7"	"F "	"0"	"15"	"Q "	"  3"
"main"	22	"20-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"V "	"T "	0	-7	7	"V "	"I "	0	5	0	0	12	"V "	"0"	" 7"	"T "	" -7"	"V "	"0"	" 7"	"I "	"  5"
"main"	23	"20-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"A "	"M "	0	-11	11	"J "	"N "	0	3	0	0	14	"A "	"0"	"11"	"M "	"-11"	"J "	"0"	"11"	"N "	"  3"
"main"	24	"20-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"E "	"S "	0	-7	7	"O "	"P "	0	1	0	0	8	"E "	"0"	" 7"	"S "	" -7"	"O "	"0"	" 7"	"P "	"  1"
"main"	25	"20-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"H "	"N "	0	-13	13	"S "	"G "	0	-13	0	0	0	"S "	"0"	"13"	"G "	"-13"	"H "	"0"	"13"	"N "	"-13"
"main"	26	"20-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"I "	"A "	0	-15	15	"F "	"M "	0	-12	0	0	3	"I "	"0"	"15"	"A "	"-15"	"F "	"0"	"15"	"M "	"-12"
"main"	27	"20-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"F "	"I "	0	-7	7	"U "	"R "	0	-7	0	0	0	"U "	"0"	" 7"	"R "	" -7"	"F "	"0"	" 7"	"I "	" -7"
"main"	28	"20-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"Y "	"N "	0	10	11	"S "	"M "	0	-11	0	21	0	"S "	"0"	"11"	"M "	"-11"	"Y "	"0"	"11"	"N "	" 10"
"main"	29	"20-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"Z "	"B "	0	-10	11	"X "	"V "	0	-9	0	1	2	"Z "	"0"	"11"	"B "	"-10"	"X "	"0"	"11"	"V "	" -9"
"main"	30	"20-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"J "	"Q "	0	-11	15	"D "	"M "	0	-5	0	4	10	"D "	"0"	"15"	"M "	" -5"	"J "	"0"	"15"	"Q "	"-11"
