"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"22-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"C "	"U "	0	10	11	"I "	"A "	0	-1	0	21	10	"I "	"0"	"11"	"A "	" -1"	"C "	"0"	"11"	"U "	" 10"
"main"	1	"22-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"E "	"D "	0	2	13	"P "	"I "	0	2	0	15	15	"E "	"0"	"13"	"D "	"  2"	"P "	"0"	"13"	"I "	"  2"
"main"	2	"22-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"Y "	"Z "	0	2	15	"W "	"W "	1	0	0	17	15	"W "	"1"	"15"	"W "	"  0"	"Y "	"0"	"15"	"Z "	"  2"
"main"	3	"22-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"L "	"O "	0	1	7	"F "	"I "	0	1	1	8	8	"L "	"0"	" 7"	"O "	"  1"	"F "	"0"	" 7"	"I "	"  1"
"main"	4	"22-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"L "	"U "	0	-3	7	"P "	"D "	0	3	0	4	10	"P "	"0"	" 7"	"D "	"  3"	"L "	"0"	" 7"	"U "	" -3"
"main"	5	"22-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"E "	"A "	0	1	9	"O "	"I "	0	15	0	10	24	"E "	"0"	" 9"	"A "	"  1"	"O "	"0"	" 9"	"I "	" 15"
"main"	6	"22-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"A "	"A "	1	0	15	"T "	"D "	0	-2	0	15	13	"A "	"1"	"15"	"A "	"  0"	"T "	"0"	"15"	"D "	" -2"
"main"	7	"22-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"R "	"W "	0	-2	9	"I "	"J "	0	-1	0	7	8	"R "	"0"	" 9"	"W "	" -2"	"I "	"0"	" 9"	"J "	" -1"
"main"	8	"22-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"T "	"W "	0	16	9	"C "	"O "	0	2	0	25	11	"C "	"0"	" 9"	"O "	"  2"	"T "	"0"	" 9"	"W "	" 16"
"main"	9	"22-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"W "	"K "	0	3	11	"X "	"S "	0	10	0	14	21	"W "	"0"	"11"	"K "	"  3"	"X "	"0"	"11"	"S "	" 10"
"main"	10	"22-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"C "	"S "	0	7	7	"L "	"J "	0	-2	0	14	5	"L "	"0"	" 7"	"J "	" -2"	"C "	"0"	" 7"	"S "	"  7"
"main"	11	"22-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"E "	"I "	0	7	15	"S "	"J "	0	1	0	22	16	"E "	"0"	"15"	"I "	"  7"	"S "	"0"	"15"	"J "	"  1"
"main"	12	"22-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"I "	"D "	0	-5	15	"P "	"P "	1	0	0	10	15	"P "	"1"	"15"	"P "	"  0"	"I "	"0"	"15"	"D "	" -5"
"main"	13	"22-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"M "	"D "	0	9	13	"S "	"R "	0	-1	0	22	12	"S "	"0"	"13"	"R "	" -1"	"M "	"0"	"13"	"D "	"  9"
