"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"26-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"N "	"S "	0	11	11	"G "	"K "	0	1	0	22	12	"G "	"0"	"11"	"K "	"  1"	"N "	"0"	"11"	"S "	" 11"
"main"	1	"26-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"G "	"A "	0	10	15	"J "	"J "	1	0	0	25	15	"J "	"1"	"15"	"J "	"  0"	"G "	"0"	"15"	"A "	" 10"
"main"	2	"26-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"G "	"G "	1	0	15	"I "	"I "	1	0	0	15	15	"I "	"1"	"15"	"I "	"  0"	"G "	"1"	"15"	"G "	"  0"
"main"	3	"26-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"L "	"R "	0	1	13	"A "	"A "	1	0	0	14	13	"A "	"1"	"13"	"A "	"  0"	"L "	"0"	"13"	"R "	"  1"
"main"	4	"26-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"E "	"Y "	0	6	7	"P "	"T "	0	10	0	13	17	"E "	"0"	" 7"	"Y "	"  6"	"P "	"0"	" 7"	"T "	" 10"
"main"	5	"26-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"I "	"M "	0	-5	11	"U "	"U "	1	0	0	6	11	"U "	"1"	"11"	"U "	"  0"	"I "	"0"	"11"	"M "	" -5"
"main"	6	"26-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"F "	"O "	0	1	11	"A "	"S "	0	-3	0	12	8	"F "	"0"	"11"	"O "	"  1"	"A "	"0"	"11"	"S "	" -3"
"main"	7	"26-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"Y "	"K "	0	2	7	"K "	"J "	0	1	0	9	8	"Y "	"0"	" 7"	"K "	"  2"	"K "	"0"	" 7"	"J "	"  1"
"main"	8	"26-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"I "	"I "	1	0	7	"I "	"U "	0	-1	0	7	6	"I "	"0"	" 7"	"U "	" -1"	"I "	"1"	" 7"	"I "	"  0"
"main"	9	"26-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"J "	"M "	0	11	9	"D "	"A "	0	-1	0	20	8	"D "	"0"	" 9"	"A "	" -1"	"J "	"0"	" 9"	"M "	" 11"
"main"	10	"26-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"N "	"L "	0	-2	9	"F "	"G "	0	2	0	7	11	"N "	"0"	" 9"	"L "	" -2"	"F "	"0"	" 9"	"G "	"  2"
"main"	11	"26-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"N "	"M "	0	-1	11	"Z "	"Z "	1	0	0	10	11	"N "	"0"	"11"	"M "	" -1"	"Z "	"1"	"11"	"Z "	"  0"
"main"	12	"26-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"P "	"S "	0	1	13	"L "	"P "	0	11	0	14	24	"L "	"0"	"13"	"P "	" 11"	"P "	"0"	"13"	"S "	"  1"
"main"	13	"26-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"H "	"H "	1	0	15	"N "	"X "	0	-12	1	15	3	"H "	"1"	"15"	"H "	"  0"	"N "	"0"	"15"	"X "	"-12"
"main"	14	"26-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"H "	"V "	0	18	7	"L "	"O "	0	1	0	25	8	"L "	"0"	" 7"	"O "	"  1"	"H "	"0"	" 7"	"V "	" 18"
"main"	15	"26-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"K "	"H "	0	-1	9	"K "	"K "	1	0	0	8	9	"K "	"0"	" 9"	"H "	" -1"	"K "	"1"	" 9"	"K "	"  0"
"main"	16	"26-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"G "	"A "	0	-2	13	"A "	"S "	0	8	0	11	21	"G "	"0"	"13"	"A "	" -2"	"A "	"0"	"13"	"S "	"  8"
"main"	17	"26-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"X "	"S "	0	1	13	"I "	"W "	0	-3	0	14	10	"X "	"0"	"13"	"S "	"  1"	"I "	"0"	"13"	"W "	" -3"
"main"	18	"26-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"R "	"R "	1	0	15	"P "	"P "	1	0	0	15	15	"R "	"1"	"15"	"R "	"  0"	"P "	"1"	"15"	"P "	"  0"
"main"	19	"26-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"S "	"E "	0	1	9	"V "	"Q "	0	1	0	10	10	"V "	"0"	" 9"	"Q "	"  1"	"S "	"0"	" 9"	"E "	"  1"
