"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"25-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"N "	"W "	0	1	9	"T "	"T "	1	0	0	10	9	"T "	"1"	" 9"	"T "	"  0"	"N "	"0"	" 9"	"W "	"  1"
"main"	1	"25-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"A "	"G "	0	1	13	"H "	"B "	0	-2	0	14	11	"A "	"0"	"13"	"G "	"  1"	"H "	"0"	"13"	"B "	" -2"
"main"	2	"25-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"A "	"G "	0	1	15	"L "	"A "	0	-2	0	16	13	"A "	"0"	"15"	"G "	"  1"	"L "	"0"	"15"	"A "	" -2"
"main"	3	"25-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"N "	"X "	0	-7	13	"W "	"W "	1	0	0	6	13	"W "	"1"	"13"	"W "	"  0"	"N "	"0"	"13"	"X "	" -7"
"main"	4	"25-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"Y "	"M "	0	-1	11	"I "	"S "	0	1	0	10	12	"I "	"0"	"11"	"S "	"  1"	"Y "	"0"	"11"	"M "	" -1"
"main"	5	"25-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"M "	"A "	0	-1	15	"D "	"D "	1	0	0	14	15	"D "	"1"	"15"	"D "	"  0"	"M "	"0"	"15"	"A "	" -1"
"main"	6	"25-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"O "	"M "	0	-1	11	"N "	"D "	0	-4	0	10	7	"O "	"0"	"11"	"M "	" -1"	"N "	"0"	"11"	"D "	" -4"
"main"	7	"25-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"J "	"J "	1	0	7	"H "	"F "	0	11	0	7	18	"J "	"1"	" 7"	"J "	"  0"	"H "	"0"	" 7"	"F "	" 11"
"main"	8	"25-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"Z "	"B "	0	-1	9	"N "	"Z "	0	-1	0	8	8	"Z "	"0"	" 9"	"B "	" -1"	"N "	"0"	" 9"	"Z "	" -1"
"main"	9	"25-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"J "	"I "	0	1	15	"I "	"P "	0	-6	0	16	9	"I "	"0"	"15"	"P "	" -6"	"J "	"0"	"15"	"I "	"  1"
