"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"18"	" T1 "	1	0	"False "	"False "	"True "	9	"W "	"K "	0	16	9	"B "	"E "	0	16	0	25	25	"B "	"0"	" 9"	"E "	" 16"	"W "	"0"	" 9"	"K "	" 16"
"main"	1	"18"	" T1 "	6	0	"False "	"False "	"False "	15	"L "	"Y "	0	7	15	"A "	"O "	0	10	0	22	25	"L "	"0"	"15"	"Y "	"  7"	"A "	"0"	"15"	"O "	" 10"
"main"	2	"18"	" T1 "	6	0	"False "	"False "	"True "	15	"V "	"G "	0	2	15	"H "	"A "	0	-5	0	17	10	"H "	"0"	"15"	"A "	" -5"	"V "	"0"	"15"	"G "	"  2"
"main"	3	"18"	" T1 "	1	0	"False "	"False "	"False "	11	"Q "	"A "	0	8	11	"N "	"W "	0	8	0	19	19	"Q "	"0"	"11"	"A "	"  8"	"N "	"0"	"11"	"W "	"  8"
"main"	4	"18"	" T1 "	1	0	"False "	"False "	"False "	13	"L "	"Y "	0	12	13	"R "	"B "	0	12	0	25	25	"L "	"0"	"13"	"Y "	" 12"	"R "	"0"	"13"	"B "	" 12"
"main"	5	"18"	" T1 "	1	0	"False "	"False "	"True "	11	"K "	"Z "	0	14	11	"K "	"D "	0	14	0	25	25	"K "	"0"	"11"	"D "	" 14"	"K "	"0"	"11"	"Z "	" 14"
"main"	6	"18"	" T1 "	1	0	"False "	"False "	"True "	7	"J "	"I "	0	18	7	"B "	"V "	0	18	0	25	25	"B "	"0"	" 7"	"V "	" 18"	"J "	"0"	" 7"	"I "	" 18"
"main"	7	"18"	" T1 "	1	0	"False "	"False "	"True "	13	"Z "	"O "	0	12	13	"G "	"Y "	0	12	0	25	25	"G "	"0"	"13"	"Y "	" 12"	"Z "	"0"	"13"	"O "	" 12"
"main"	8	"18"	" T1 "	6	0	"False "	"False "	"True "	7	"M "	"Y "	0	18	7	"J "	"T "	0	18	0	25	25	"J "	"0"	" 7"	"T "	" 18"	"M "	"0"	" 7"	"Y "	" 18"
"main"	9	"18"	" T1 "	1	0	"False "	"False "	"False "	15	"Y "	"D "	0	10	15	"O "	"B "	0	10	0	25	25	"Y "	"0"	"15"	"D "	" 10"	"O "	"0"	"15"	"B "	" 10"
"main"	10	"18"	" T1 "	1	0	"False "	"False "	"True "	15	"P "	"Y "	0	10	15	"F "	"I "	0	10	0	25	25	"F "	"0"	"15"	"I "	" 10"	"P "	"0"	"15"	"Y "	" 10"
"main"	11	"18"	" T1 "	6	0	"False "	"False "	"True "	13	"Z "	"M "	0	12	13	"N "	"T "	0	12	0	25	25	"N "	"0"	"13"	"T "	" 12"	"Z "	"0"	"13"	"M "	" 12"
"main"	12	"18"	" T1 "	1	0	"False "	"False "	"False "	7	"F "	"W "	0	18	7	"E "	"C "	0	18	0	25	25	"F "	"0"	" 7"	"W "	" 18"	"E "	"0"	" 7"	"C "	" 18"
"main"	13	"18"	" T1 "	6	0	"False "	"False "	"False "	7	"T "	"M "	0	17	7	"P "	"N "	0	17	0	24	24	"T "	"0"	" 7"	"M "	" 17"	"P "	"0"	" 7"	"N "	" 17"
"main"	14	"18"	" T1 "	1	0	"False "	"False "	"False "	9	"W "	"H "	0	16	9	"S "	"U "	0	16	1	25	25	"W "	"0"	" 9"	"H "	" 16"	"S "	"0"	" 9"	"U "	" 16"
