"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"14"	" T1 "	6	0	"False "	"False "	"False "	11	"Q "	"Q "	1	0	11	"Q "	"M "	0	-9	0	11	2	"Q "	"1"	"11"	"Q "	"  0"	"Q "	"0"	"11"	"M "	" -9"
"main"	1	"14"	" T1 "	1	0	"False "	"False "	"True "	13	"V "	"V "	1	0	13	"V "	"U "	0	1	0	13	14	"V "	"0"	"13"	"U "	"  1"	"V "	"1"	"13"	"V "	"  0"
"main"	2	"14"	" T1 "	6	0	"False "	"False "	"True "	9	"R "	"S "	0	1	9	"M "	"M "	1	0	0	10	9	"M "	"1"	" 9"	"M "	"  0"	"R "	"0"	" 9"	"S "	"  1"
"main"	3	"14"	" T1 "	6	0	"False "	"False "	"False "	13	"S "	"S "	1	0	13	"Y "	"B "	0	-5	0	13	8	"S "	"1"	"13"	"S "	"  0"	"Y "	"0"	"13"	"B "	" -5"
"main"	4	"14"	" T1 "	1	0	"False "	"False "	"True "	11	"E "	"O "	0	14	11	"O "	"I "	0	-7	0	25	4	"O "	"0"	"11"	"I "	" -7"	"E "	"0"	"11"	"O "	" 14"
"main"	5	"14"	" T1 "	6	0	"False "	"False "	"True "	15	"C "	"G "	0	1	15	"F "	"B "	0	1	1	16	16	"F "	"0"	"15"	"B "	"  1"	"C "	"0"	"15"	"G "	"  1"
"main"	6	"14"	" T1 "	1	0	"False "	"False "	"True "	15	"A "	"Z "	0	1	15	"W "	"W "	1	0	0	16	15	"W "	"1"	"15"	"W "	"  0"	"A "	"0"	"15"	"Z "	"  1"
"main"	7	"14"	" T1 "	1	0	"False "	"False "	"False "	7	"Y "	"M "	0	1	7	"H "	"J "	0	-2	0	8	5	"Y "	"0"	" 7"	"M "	"  1"	"H "	"0"	" 7"	"J "	" -2"
"main"	8	"14"	" T1 "	1	0	"False "	"False "	"False "	9	"H "	"H "	1	0	9	"V "	"J "	0	-1	0	9	8	"H "	"1"	" 9"	"H "	"  0"	"V "	"0"	" 9"	"J "	" -1"
"main"	9	"14"	" T1 "	6	0	"False "	"False "	"True "	11	"Y "	"F "	0	11	11	"X "	"S "	0	7	0	22	18	"X "	"0"	"11"	"S "	"  7"	"Y "	"0"	"11"	"F "	" 11"
"main"	10	"14"	" T1 "	1	0	"False "	"False "	"True "	7	"C "	"P "	0	-4	7	"Q "	"M "	0	-7	0	3	0	"Q "	"0"	" 7"	"M "	" -7"	"C "	"0"	" 7"	"P "	" -4"
"main"	11	"14"	" T1 "	6	0	"False "	"False "	"False "	7	"R "	"M "	0	1	7	"Z "	"S "	0	-7	0	8	0	"R "	"0"	" 7"	"M "	"  1"	"Z "	"0"	" 7"	"S "	" -7"
"main"	12	"14"	" T1 "	6	0	"False "	"False "	"True "	7	"I "	"M "	0	1	7	"I "	"U "	0	6	0	8	13	"I "	"0"	" 7"	"U "	"  6"	"I "	"0"	" 7"	"M "	"  1"
"main"	13	"14"	" T1 "	1	0	"False "	"False "	"False "	11	"H "	"H "	1	0	11	"J "	"J "	1	0	0	11	11	"H "	"1"	"11"	"H "	"  0"	"J "	"1"	"11"	"J "	"  0"
"main"	14	"14"	" T1 "	1	0	"False "	"False "	"True "	9	"W "	"N "	0	8	9	"O "	"V "	0	-4	0	17	5	"O "	"0"	" 9"	"V "	" -4"	"W "	"0"	" 9"	"N "	"  8"
"main"	15	"14"	" T1 "	6	0	"False "	"False "	"False "	9	"J "	"J "	1	0	9	"X "	"N "	0	-2	0	9	7	"J "	"1"	" 9"	"J "	"  0"	"X "	"0"	" 9"	"N "	" -2"
"main"	16	"14"	" T1 "	6	0	"False "	"False "	"True "	13	"W "	"S "	0	-13	13	"Z "	"W "	0	1	1	0	14	"Z "	"0"	"13"	"W "	"  1"	"W "	"0"	"13"	"S "	"-13"
"main"	17	"14"	" T1 "	1	0	"False "	"False "	"False "	13	"X "	"X "	1	0	13	"C "	"I "	0	8	0	13	21	"X "	"1"	"13"	"X "	"  0"	"C "	"0"	"13"	"I "	"  8"
"main"	18	"14"	" T1 "	6	0	"False "	"False "	"False "	15	"W "	"W "	1	0	15	"D "	"J "	0	2	0	15	17	"W "	"1"	"15"	"W "	"  0"	"D "	"0"	"15"	"J "	"  2"
"main"	19	"14"	" T1 "	1	0	"False "	"False "	"False "	15	"Q "	"Q "	1	0	15	"K "	"U "	0	6	0	15	21	"Q "	"1"	"15"	"Q "	"  0"	"K "	"0"	"15"	"U "	"  6"
"main"	20	"14"	" T1 "	6	0	"False "	"False "	"False "	9	"X "	"X "	1	0	9	"Y "	"O "	0	7	0	9	16	"X "	"1"	" 9"	"X "	"  0"	"Y "	"0"	" 9"	"O "	"  7"
"main"	21	"14"	" T1 "	6	0	"False "	"False "	"True "	15	"U "	"N "	0	-15	15	"U "	"P "	0	-6	0	0	9	"U "	"0"	"15"	"P "	" -6"	"U "	"0"	"15"	"N "	"-15"
"main"	22	"14"	" T1 "	1	0	"False "	"False "	"True "	7	"Q "	"S "	0	3	7	"Q "	"S "	0	1	0	10	8	"Q "	"0"	" 7"	"S "	"  1"	"Q "	"0"	" 7"	"S "	"  3"
"main"	23	"14"	" T1 "	6	0	"False "	"False "	"True "	7	"P "	"E "	0	1	7	"I "	"M "	0	5	0	8	12	"I "	"0"	" 7"	"M "	"  5"	"P "	"0"	" 7"	"E "	"  1"
"main"	24	"14"	" T1 "	6	0	"False "	"False "	"False "	11	"F "	"H "	0	1	11	"Y "	"K "	0	9	0	12	20	"F "	"0"	"11"	"H "	"  1"	"Y "	"0"	"11"	"K "	"  9"
"main"	25	"14"	" T1 "	1	0	"False "	"False "	"False "	11	"F "	"Y "	0	1	11	"L "	"N "	0	13	0	12	24	"F "	"0"	"11"	"Y "	"  1"	"L "	"0"	"11"	"N "	" 13"
"main"	26	"14"	" T1 "	1	0	"False "	"False "	"False "	9	"Z "	"Z "	1	0	9	"Z "	"T "	0	3	0	9	12	"Z "	"1"	" 9"	"Z "	"  0"	"Z "	"0"	" 9"	"T "	"  3"
"main"	27	"14"	" T1 "	6	0	"False "	"False "	"True "	13	"U "	"N "	0	-7	13	"J "	"Q "	0	-8	0	6	5	"J "	"0"	"13"	"Q "	" -8"	"U "	"0"	"13"	"N "	" -7"
"main"	28	"14"	" T1 "	1	0	"False "	"False "	"True "	13	"Q "	"T "	0	-1	13	"B "	"B "	1	0	0	12	13	"B "	"1"	"13"	"B "	"  0"	"Q "	"0"	"13"	"T "	" -1"
"main"	29	"14"	" T1 "	6	0	"False "	"False "	"False "	7	"O "	"M "	0	4	7	"U "	"O "	0	3	0	11	10	"O "	"0"	" 7"	"M "	"  4"	"U "	"0"	" 7"	"O "	"  3"
"main"	30	"14"	" T1 "	1	0	"False "	"False "	"True "	11	"T "	"I "	0	8	11	"Y "	"J "	0	7	0	19	18	"Y "	"0"	"11"	"J "	"  7"	"T "	"0"	"11"	"I "	"  8"
"main"	31	"14"	" T1 "	6	0	"False "	"False "	"False "	15	"Y "	"P "	0	-5	15	"V "	"M "	0	3	0	10	18	"Y "	"0"	"15"	"P "	" -5"	"V "	"0"	"15"	"M "	"  3"
"main"	32	"14"	" T1 "	1	0	"False "	"False "	"True "	9	"U "	"U "	1	0	9	"D "	"D "	1	0	0	9	9	"D "	"1"	" 9"	"D "	"  0"	"U "	"1"	" 9"	"U "	"  0"
"main"	33	"14"	" T1 "	6	0	"False "	"False "	"True "	9	"U "	"W "	0	-1	9	"Y "	"D "	0	-6	0	8	3	"Y "	"0"	" 9"	"D "	" -6"	"U "	"0"	" 9"	"W "	" -1"
"main"	34	"14"	" T1 "	1	0	"False "	"False "	"False "	7	"Z "	"Z "	1	0	7	"O "	"O "	1	0	0	7	7	"Z "	"1"	" 7"	"Z "	"  0"	"O "	"1"	" 7"	"O "	"  0"
"main"	35	"14"	" T1 "	1	0	"False "	"False "	"False "	15	"S "	"S "	1	0	15	"S "	"S "	1	0	0	15	15	"S "	"1"	"15"	"S "	"  0"	"S "	"1"	"15"	"S "	"  0"
"main"	36	"14"	" T1 "	1	0	"False "	"False "	"True "	15	"Z "	"Z "	1	0	15	"W "	"W "	1	0	0	15	15	"W "	"1"	"15"	"W "	"  0"	"Z "	"1"	"15"	"Z "	"  0"
"main"	37	"14"	" T1 "	6	0	"False "	"False "	"False "	13	"C "	"M "	0	1	13	"G "	"L "	0	1	0	14	14	"C "	"0"	"13"	"M "	"  1"	"G "	"0"	"13"	"L "	"  1"
"main"	38	"14"	" T1 "	1	0	"False "	"False "	"False "	13	"D "	"D "	1	0	13	"T "	"F "	0	1	0	13	14	"D "	"1"	"13"	"D "	"  0"	"T "	"0"	"13"	"F "	"  1"
"main"	39	"14"	" T1 "	6	0	"False "	"False "	"True "	11	"G "	"S "	0	1	11	"I "	"D "	0	4	0	12	15	"I "	"0"	"11"	"D "	"  4"	"G "	"0"	"11"	"S "	"  1"
"main"	40	"14"	" T1 "	1	0	"False "	"False "	"False "	7	"M "	"M "	1	0	7	"C "	"K "	0	4	0	7	11	"M "	"1"	" 7"	"M "	"  0"	"C "	"0"	" 7"	"K "	"  4"
"main"	41	"14"	" T1 "	6	0	"False "	"False "	"False "	7	"V "	"N "	0	-7	7	"B "	"L "	0	-6	0	0	1	"V "	"0"	" 7"	"N "	" -7"	"B "	"0"	" 7"	"L "	" -6"
"main"	42	"14"	" T1 "	1	0	"False "	"False "	"True "	15	"U "	"N "	0	1	15	"X "	"M "	0	-15	0	16	0	"X "	"0"	"15"	"M "	"-15"	"U "	"0"	"15"	"N "	"  1"
"main"	43	"14"	" T1 "	6	0	"False "	"False "	"True "	15	"U "	"S "	0	1	15	"B "	"L "	0	-8	1	16	7	"B "	"0"	"15"	"L "	" -8"	"U "	"0"	"15"	"S "	"  1"
"main"	44	"14"	" T1 "	1	0	"False "	"False "	"False "	11	"S "	"S "	1	0	11	"V "	"V "	1	0	0	11	11	"S "	"1"	"11"	"S "	"  0"	"V "	"1"	"11"	"V "	"  0"
"main"	45	"14"	" T1 "	1	0	"False "	"False "	"True "	9	"C "	"V "	0	-8	9	"E "	"D "	0	1	0	1	10	"E "	"0"	" 9"	"D "	"  1"	"C "	"0"	" 9"	"V "	" -8"
"main"	46	"14"	" T1 "	1	0	"False "	"False "	"False "	9	"R "	"A "	0	-5	9	"A "	"E "	0	13	0	4	22	"R "	"0"	" 9"	"A "	" -5"	"A "	"0"	" 9"	"E "	" 13"
"main"	47	"14"	" T1 "	6	0	"False "	"False "	"False "	15	"T "	"H "	0	1	15	"J "	"I "	0	9	0	16	24	"T "	"0"	"15"	"H "	"  1"	"J "	"0"	"15"	"I "	"  9"
