"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"27-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"T "	"F "	0	7	11	"F "	"E "	0	2	0	18	13	"F "	"0"	"11"	"E "	"  2"	"T "	"0"	"11"	"F "	"  7"
"main"	1	"27-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"D "	"D "	1	0	7	"U "	"X "	0	16	0	7	23	"D "	"1"	" 7"	"D "	"  0"	"U "	"0"	" 7"	"X "	" 16"
"main"	2	"27-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"X "	"X "	1	0	11	"T "	"I "	0	5	0	11	16	"X "	"1"	"11"	"X "	"  0"	"T "	"0"	"11"	"I "	"  5"
"main"	3	"27-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"W "	"M "	0	2	9	"L "	"Y "	0	-7	0	11	2	"W "	"0"	" 9"	"M "	"  2"	"L "	"0"	" 9"	"Y "	" -7"
"main"	4	"27-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"U "	"U "	1	0	13	"D "	"L "	0	10	0	13	23	"U "	"1"	"13"	"U "	"  0"	"D "	"0"	"13"	"L "	" 10"
"main"	5	"27-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"O "	"O "	1	0	7	"U "	"T "	0	-1	0	7	6	"O "	"1"	" 7"	"O "	"  0"	"U "	"0"	" 7"	"T "	" -1"
"main"	6	"27-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"F "	"D "	0	1	13	"L "	"L "	1	0	0	14	13	"F "	"0"	"13"	"D "	"  1"	"L "	"1"	"13"	"L "	"  0"
"main"	7	"27-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"Q "	"L "	0	14	9	"C "	"G "	0	-1	0	23	8	"C "	"0"	" 9"	"G "	" -1"	"Q "	"0"	" 9"	"L "	" 14"
"main"	8	"27-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"Y "	"X "	0	2	7	"V "	"G "	0	4	0	9	11	"V "	"0"	" 7"	"G "	"  4"	"Y "	"0"	" 7"	"X "	"  2"
"main"	9	"27-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"I "	"G "	0	-15	15	"H "	"M "	0	-15	0	0	0	"H "	"0"	"15"	"M "	"-15"	"I "	"0"	"15"	"G "	"-15"
"main"	10	"27-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"H "	"J "	0	2	11	"U "	"E "	0	-1	0	13	10	"U "	"0"	"11"	"E "	" -1"	"H "	"0"	"11"	"J "	"  2"
"main"	11	"27-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"Y "	"Y "	1	0	11	"I "	"I "	1	0	0	11	11	"Y "	"1"	"11"	"Y "	"  0"	"I "	"1"	"11"	"I "	"  0"
"main"	12	"27-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"Q "	"F "	0	-1	13	"W "	"X "	0	-1	0	12	12	"W "	"0"	"13"	"X "	" -1"	"Q "	"0"	"13"	"F "	" -1"
"main"	13	"27-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"A "	"M "	0	10	15	"Q "	"Q "	1	0	0	25	15	"Q "	"1"	"15"	"Q "	"  0"	"A "	"0"	"15"	"M "	" 10"
"main"	14	"27-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"X "	"S "	0	1	9	"X "	"X "	1	0	0	10	9	"X "	"0"	" 9"	"S "	"  1"	"X "	"1"	" 9"	"X "	"  0"
"main"	15	"27-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"X "	"J "	0	-2	7	"B "	"B "	1	0	0	5	7	"B "	"1"	" 7"	"B "	"  0"	"X "	"0"	" 7"	"J "	" -2"
"main"	16	"27-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"S "	"P "	0	1	15	"I "	"O "	0	1	0	16	16	"S "	"0"	"15"	"P "	"  1"	"I "	"0"	"15"	"O "	"  1"
"main"	17	"27-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"W "	"J "	0	7	9	"C "	"S "	0	1	0	16	10	"C "	"0"	" 9"	"S "	"  1"	"W "	"0"	" 9"	"J "	"  7"
"main"	18	"27-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"A "	"J "	0	-1	15	"X "	"K "	0	-14	0	14	1	"A "	"0"	"15"	"J "	" -1"	"X "	"0"	"15"	"K "	"-14"
"main"	19	"27-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"P "	"P "	1	0	13	"B "	"W "	0	1	0	13	14	"B "	"0"	"13"	"W "	"  1"	"P "	"1"	"13"	"P "	"  0"
"main"	20	"27-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"N "	"Z "	0	1	13	"W "	"M "	0	7	0	14	20	"N "	"0"	"13"	"Z "	"  1"	"W "	"0"	"13"	"M "	"  7"
"main"	21	"27-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"O "	"J "	0	-7	9	"U "	"U "	1	0	0	2	9	"U "	"1"	" 9"	"U "	"  0"	"O "	"0"	" 9"	"J "	" -7"
"main"	22	"27-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"R "	"J "	0	1	15	"O "	"A "	0	1	0	16	16	"O "	"0"	"15"	"A "	"  1"	"R "	"0"	"15"	"J "	"  1"
"main"	23	"27-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"D "	"D "	1	0	15	"A "	"L "	0	-12	0	15	3	"D "	"1"	"15"	"D "	"  0"	"A "	"0"	"15"	"L "	"-12"
"main"	24	"27-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"T "	"T "	1	0	9	"O "	"Q "	0	-1	0	9	8	"O "	"0"	" 9"	"Q "	" -1"	"T "	"1"	" 9"	"T "	"  0"
"main"	25	"27-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"V "	"O "	0	17	7	"J "	"P "	0	-6	0	24	1	"V "	"0"	" 7"	"O "	" 17"	"J "	"0"	" 7"	"P "	" -6"
"main"	26	"27-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"M "	"M "	1	0	11	"N "	"P "	0	-8	0	11	3	"M "	"1"	"11"	"M "	"  0"	"N "	"0"	"11"	"P "	" -8"
