"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"32-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"Y "	"C "	0	1	15	"M "	"M "	1	0	0	16	15	"M "	"1"	"15"	"M "	"  0"	"Y "	"0"	"15"	"C "	"  1"
"main"	1	"32-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"J "	"J "	1	0	13	"L "	"M "	0	1	0	13	14	"J "	"1"	"13"	"J "	"  0"	"L "	"0"	"13"	"M "	"  1"
"main"	2	"32-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"N "	"Z "	0	1	13	"B "	"N "	0	-7	0	14	6	"N "	"0"	"13"	"Z "	"  1"	"B "	"0"	"13"	"N "	" -7"
"main"	3	"32-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"K "	"K "	1	0	11	"G "	"J "	0	-11	0	11	0	"K "	"1"	"11"	"K "	"  0"	"G "	"0"	"11"	"J "	"-11"
"main"	4	"32-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"E "	"X "	0	-5	15	"X "	"F "	0	-1	0	10	14	"X "	"0"	"15"	"F "	" -1"	"E "	"0"	"15"	"X "	" -5"
"main"	5	"32-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"C "	"C "	1	0	15	"M "	"M "	1	0	0	15	15	"C "	"1"	"15"	"C "	"  0"	"M "	"1"	"15"	"M "	"  0"
"main"	6	"32-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"W "	"W "	1	0	13	"H "	"H "	1	0	0	13	13	"H "	"1"	"13"	"H "	"  0"	"W "	"1"	"13"	"W "	"  0"
"main"	7	"32-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"T "	"Q "	0	1	7	"F "	"W "	0	1	0	8	8	"F "	"0"	" 7"	"W "	"  1"	"T "	"0"	" 7"	"Q "	"  1"
"main"	8	"32-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"V "	"S "	0	1	15	"M "	"M "	1	0	0	16	15	"V "	"0"	"15"	"S "	"  1"	"M "	"1"	"15"	"M "	"  0"
"main"	9	"32-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"I "	"O "	0	1	13	"K "	"K "	1	0	0	14	13	"K "	"1"	"13"	"K "	"  0"	"I "	"0"	"13"	"O "	"  1"
