"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"28-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"U "	"E "	0	1	7	"H "	"V "	0	1	0	8	8	"U "	"0"	" 7"	"E "	"  1"	"H "	"0"	" 7"	"V "	"  1"
"main"	1	"28-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"R "	"F "	0	1	9	"W "	"W "	1	0	0	10	9	"R "	"0"	" 9"	"F "	"  1"	"W "	"1"	" 9"	"W "	"  0"
"main"	2	"28-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"M "	"M "	1	0	13	"G "	"U "	0	-1	0	13	12	"G "	"0"	"13"	"U "	" -1"	"M "	"1"	"13"	"M "	"  0"
"main"	3	"28-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"B "	"B "	1	0	15	"P "	"P "	1	0	0	15	15	"P "	"1"	"15"	"P "	"  0"	"B "	"1"	"15"	"B "	"  0"
"main"	4	"28-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"J "	"I "	0	-15	15	"E "	"E "	1	0	0	0	15	"E "	"1"	"15"	"E "	"  0"	"J "	"0"	"15"	"I "	"-15"
"main"	5	"28-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"Z "	"Z "	1	0	13	"M "	"M "	1	0	0	13	13	"M "	"1"	"13"	"M "	"  0"	"Z "	"1"	"13"	"Z "	"  0"
"main"	6	"28-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"N "	"F "	0	1	11	"D "	"B "	0	-1	0	12	10	"D "	"0"	"11"	"B "	" -1"	"N "	"0"	"11"	"F "	"  1"
"main"	7	"28-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"T "	"T "	1	0	15	"Y "	"C "	0	1	0	15	16	"T "	"1"	"15"	"T "	"  0"	"Y "	"0"	"15"	"C "	"  1"
"main"	8	"28-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"L "	"B "	0	-1	9	"E "	"V "	0	1	0	8	10	"E "	"0"	" 9"	"V "	"  1"	"L "	"0"	" 9"	"B "	" -1"
"main"	9	"28-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"N "	"H "	0	-2	11	"E "	"F "	0	-1	0	9	10	"E "	"0"	"11"	"F "	" -1"	"N "	"0"	"11"	"H "	" -2"
"main"	10	"28-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"A "	"A "	1	0	11	"H "	"B "	0	2	0	11	13	"A "	"1"	"11"	"A "	"  0"	"H "	"0"	"11"	"B "	"  2"
"main"	11	"28-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"P "	"P "	1	0	11	"C "	"C "	1	0	0	11	11	"P "	"1"	"11"	"P "	"  0"	"C "	"1"	"11"	"C "	"  0"
