"experimentPhase"	"trialnum"	"subject"	"task"	"wordEcc"	"noisePercent"	"leftStreamFlip"	"rightStreamFlip"	"rightResponseFirst"	"cueSerialPos0"	"answer0"	"response0"	"correct0"	"responsePosRelative0"	"cueSerialPos1"	"answer1"	"response1"	"correct1"	"responsePosRelative1"	"timingBlips"	"cueResponsePos0"	"cueResponsePos1"	"answerleft"	"correctleft"	"cueSerialPosleft"	"responseleft"	"responsePosRelativeleft"	"answerright"	"correctright"	"cueSerialPosright"	"responseright"	"responsePosRelativeright"
"main"	0	"17-1 "	" T1 "	1	0	"False "	"False "	"False "	11	"Z "	"Z "	1	0	11	"I "	"P "	0	-1	0	11	10	"Z "	"1"	"11"	"Z "	"  0"	"I "	"0"	"11"	"P "	" -1"
"main"	1	"17-1 "	" T1 "	1	0	"False "	"False "	"True "	7	"C "	"I "	0	2	7	"V "	"G "	0	1	0	9	8	"V "	"0"	" 7"	"G "	"  1"	"C "	"0"	" 7"	"I "	"  2"
"main"	2	"17-1 "	" T1 "	6	0	"False "	"False "	"False "	13	"G "	"M "	0	-7	13	"B "	"B "	1	0	0	6	13	"G "	"0"	"13"	"M "	" -7"	"B "	"1"	"13"	"B "	"  0"
"main"	3	"17-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"Z "	"P "	0	-2	9	"U "	"J "	0	3	1	7	12	"U "	"0"	" 9"	"J "	"  3"	"Z "	"0"	" 9"	"P "	" -2"
"main"	4	"17-1 "	" T1 "	1	0	"False "	"False "	"True "	15	"O "	"S "	0	-1	15	"P "	"P "	1	0	0	14	15	"P "	"1"	"15"	"P "	"  0"	"O "	"0"	"15"	"S "	" -1"
"main"	5	"17-1 "	" T1 "	6	0	"False "	"False "	"False "	15	"D "	"X "	0	2	15	"R "	"I "	0	1	0	17	16	"D "	"0"	"15"	"X "	"  2"	"R "	"0"	"15"	"I "	"  1"
"main"	6	"17-1 "	" T1 "	1	0	"False "	"False "	"False "	7	"X "	"B "	0	4	7	"W "	"O "	0	14	0	11	21	"X "	"0"	" 7"	"B "	"  4"	"W "	"0"	" 7"	"O "	" 14"
"main"	7	"17-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"O "	"B "	0	1	11	"O "	"D "	0	2	0	12	13	"O "	"0"	"11"	"B "	"  1"	"O "	"0"	"11"	"D "	"  2"
"main"	8	"17-1 "	" T1 "	1	0	"False "	"False "	"False "	9	"E "	"E "	1	0	9	"O "	"B "	0	-1	0	9	8	"E "	"1"	" 9"	"E "	"  0"	"O "	"0"	" 9"	"B "	" -1"
"main"	9	"17-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"M "	"W "	0	-8	9	"Q "	"Q "	1	0	0	1	9	"Q "	"1"	" 9"	"Q "	"  0"	"M "	"0"	" 9"	"W "	" -8"
"main"	10	"17-1 "	" T1 "	6	0	"False "	"False "	"True "	7	"I "	"I "	1	0	7	"Y "	"W "	0	15	0	7	22	"Y "	"0"	" 7"	"W "	" 15"	"I "	"1"	" 7"	"I "	"  0"
"main"	11	"17-1 "	" T1 "	1	0	"False "	"False "	"True "	13	"K "	"F "	0	-6	13	"Q "	"D "	0	-1	0	7	12	"Q "	"0"	"13"	"D "	" -1"	"K "	"0"	"13"	"F "	" -6"
"main"	12	"17-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"O "	"F "	0	1	11	"Q "	"N "	0	1	0	12	12	"Q "	"0"	"11"	"N "	"  1"	"O "	"0"	"11"	"F "	"  1"
"main"	13	"17-1 "	" T1 "	6	0	"False "	"False "	"True "	13	"U "	"H "	0	-2	13	"G "	"U "	0	5	1	11	18	"G "	"0"	"13"	"U "	"  5"	"U "	"0"	"13"	"H "	" -2"
"main"	14	"17-1 "	" T1 "	6	0	"False "	"False "	"True "	15	"V "	"T "	0	1	15	"K "	"K "	1	0	0	16	15	"K "	"1"	"15"	"K "	"  0"	"V "	"0"	"15"	"T "	"  1"
"main"	15	"17-1 "	" T1 "	1	0	"False "	"False "	"False "	15	"W "	"W "	1	0	15	"H "	"F "	0	-3	0	15	12	"W "	"1"	"15"	"W "	"  0"	"H "	"0"	"15"	"F "	" -3"
"main"	16	"17-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"N "	"G "	0	-8	11	"H "	"H "	1	0	0	3	11	"H "	"1"	"11"	"H "	"  0"	"N "	"0"	"11"	"G "	" -8"
"main"	17	"17-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"L "	"J "	0	-1	7	"U "	"L "	0	15	0	6	22	"L "	"0"	" 7"	"J "	" -1"	"U "	"0"	" 7"	"L "	" 15"
"main"	18	"17-1 "	" T1 "	1	0	"False "	"False "	"False "	13	"D "	"D "	1	0	13	"G "	"A "	0	6	0	13	19	"D "	"1"	"13"	"D "	"  0"	"G "	"0"	"13"	"A "	"  6"
"main"	19	"17-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"P "	"P "	1	0	9	"P "	"I "	0	6	0	9	15	"P "	"1"	" 9"	"P "	"  0"	"P "	"0"	" 9"	"I "	"  6"
"main"	20	"17-1 "	" T1 "	6	0	"False "	"False "	"False "	11	"E "	"W "	0	-1	11	"I "	"I "	1	0	0	10	11	"E "	"0"	"11"	"W "	" -1"	"I "	"1"	"11"	"I "	"  0"
"main"	21	"17-1 "	" T1 "	6	0	"False "	"False "	"False "	7	"I "	"I "	1	0	7	"I "	"S "	0	-2	1	7	5	"I "	"1"	" 7"	"I "	"  0"	"I "	"0"	" 7"	"S "	" -2"
"main"	22	"17-1 "	" T1 "	1	0	"False "	"False "	"True "	9	"K "	"F "	0	-6	9	"V "	"W "	0	1	0	3	10	"V "	"0"	" 9"	"W "	"  1"	"K "	"0"	" 9"	"F "	" -6"
"main"	23	"17-1 "	" T1 "	6	0	"False "	"False "	"True "	11	"H "	"K "	0	-9	11	"Z "	"H "	0	-1	0	2	10	"Z "	"0"	"11"	"H "	" -1"	"H "	"0"	"11"	"K "	" -9"
"main"	24	"17-1 "	" T1 "	6	0	"False "	"False "	"True "	9	"R "	"K "	0	-2	9	"E "	"Q "	0	1	0	7	10	"E "	"0"	" 9"	"Q "	"  1"	"R "	"0"	" 9"	"K "	" -2"
"main"	25	"17-1 "	" T1 "	1	0	"False "	"False "	"True "	11	"E "	"P "	0	-4	11	"U "	"W "	0	1	0	7	12	"U "	"0"	"11"	"W "	"  1"	"E "	"0"	"11"	"P "	" -4"
"main"	26	"17-1 "	" T1 "	6	0	"False "	"False "	"False "	9	"U "	"U "	1	0	9	"E "	"A "	0	-9	0	9	0	"U "	"1"	" 9"	"U "	"  0"	"E "	"0"	" 9"	"A "	" -9"
